Наименование;Цена;Наличие
Ноутбуки;;
HP Compaq 6830s NN330ES P-M-T4200 2,0 ГГц / 17.0'' WXGA+ / 3072Mb / 320Gb / Radeon 3430-v256Mb / DVD-RWx2 / WiFi / VHB;25050 руб.;предзаказ
HP Compaq 6830s NN328ES P-M-T4200 2,0 ГГц / 17.0'' WXGA+ / 3072Mb / 320Gb / Radeon 3430-v256Mb / DVD-RWx2 / WiFi / DOS;33340 руб.;остатки
HP Compaq 6830s KU404EA C2D(Pn)-T5870 2,0 ГГц / 17.0'' WXGA+ / 2048Mb / 250Gb / Radeon 3430-v256Mb / DVD-RWx2 / WiFi / VHP;28970 руб.;предзаказ
HP Compaq 6830s KU408EA C2D(Pn)-P8600 2,4 ГГц / 17.0'' WSXGA+ / 2048Mb / 250Gb / Radeon 3430-v256Mb / Blu-Ray Combo / WiFi / VB;40390 руб.;остатки
HP Compaq 6830s NN329ES P-M-T4200 2,0 ГГц / 17.0'' WXGA+ / 2048Mb / 250Gb / Radeon 3430-v256Mb / DVD-RWx2 / WiFi / VHB;22950 руб.;есть
HP Compaq 6735b NN316EA TurX2-ZM-84 2,3 ГГц / 15.4'' WSXGA+ / 2048Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VB;32110 руб.;есть
HP Compaq 6735b KU213EA TurX2-ZM-82 2,2 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VB;28310 руб.;есть
HP Compaq 6735b KU214EA TurX2-ZM-82 2,2 ГГц / 15.4'' WSXGA+ / 2048Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VB;25650 руб.;есть
HP Compaq 6735b FU307EA TurX2-RM-70 2,0 ГГц / 15.4'' WXGA / 3072Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VB;28300 руб.;остатки
HP Compaq 6735b NA739ES TurX2-RM-70 2,0 ГГц / 15.4'' WSXGA+ / 2048Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VB;40990 руб.;остатки
HP Compaq 6735b FU303EA A64X2-QL-62 2,0 ГГц / 15.4'' WXGA / 1024Mb / 160Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VB;23490 руб.;остатки
HP Compaq 6735b FU305EA A64X2-QL-62 2,0 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VB;27710 руб.;остатки
HP Compaq 6735b KU212EA TurX2-ZM-80 2,1 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VB;27760 руб.;есть
HP Compaq 6735b KU215EA TurX2-ZM-82 2,2 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VB;32640 руб.;предзаказ
HP Compaq 6735b KU210EA A64X2-QL-60 1,9 ГГц / 15.4'' WXGA / 1024Mb / 120Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VB;21730 руб.;предзаказ
HP Pavilion dv2-1035er NS543EA AMD Athlon Neo-MV-40 1,6 ГГц / 12.1'' WXGA / 4096Mb / 320Gb / ATI Mobility™ Radeon® HD 3410-v512Mb / noCDROM / WiFi / VHP;25500 руб.;есть
HP Pavilion dv5-1199er FV749EA C2D-P8400 2,26 ГГц / 15.4'' WXGA / 3072Mb / 320Gb / GeForce 9600M GT-v512Mb / DVD-RWx2 / WiFi / VHP;39080 руб.;остатки
HP Compaq 6735s FU602ES TurX2-RM-70 2,0 ГГц / 15.4'' WXGA / 3072Mb / 320Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / DOS;32120 руб.;остатки
HP Compaq 6735s FU331EA A64X2-ZM-84 2,3 ГГц / 15.4'' WXGA / 2048Mb / 320Gb / Radeon 3-v128Mb / DVD-RWx2 / WiFi / VB;25830 руб.;предзаказ
HP Compaq 6735s NA738ES TurX2-RM-70 2,0 ГГц / 15.4'' WXGA / 3072Mb / 320Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VHB;23230 руб.;остатки
HP Compaq 6735s FU601ES TurX2-RM-70 2,0 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / DOS;22670 руб.;остатки
HP Compaq 6735s KU221EA TurX2-RM-70 2,0 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VB;33610 руб.;предзаказ
HP Compaq 6735s FU310EA TurX2-RM-72 2,1 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VB;24670 руб.;остатки
HP Compaq 6735s KU223EA A64X2-ZM-82 2,2 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VB;27990 руб.;остатки
HP Compaq 2140 NN358EA Intel® Atom-N270 1,6 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H;17000 руб.;есть
HP Compaq 2140 NX398ES Intel® Atom-N270 1,6 ГГц / 10.1'' WSVGA / 2048Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / Linux;17030 руб.;предзаказ
HP Pavilion dv7-1090er FP749EA C2D-T9400 2,53 ГГц / 17.0'' WXGA+ / 4096Mb / 640Gb / GeForce 9600M GT-v512Mb / Blu-Ray Combo / WiFi / VHP;46570 руб.;остатки
HP Pavilion dv5-1260er NG276EA C2D-P7450 2,13 ГГц / 15.4'' WXGA / 3072Mb / 250Gb / GeForce 9600M GT-v512Mb / DVD-RWx2 / WiFi / VHP;35650 руб.;остатки
HP Pavilion dv7-2110er VE145EA C2D-T6500 2,1 ГГц / 17.3'' WSXGA / 3072Mb / 320Gb / ATI Mobility™ Radeon® HD 4330-v512Mb / DVD-RWx2 / WiFi / VHP;36490 руб.;предзаказ
HP Pavilion dv4-1199er FV629EA C2D-P7350 2,0 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / GeForce 9200M-v512Mb / DVD-RWx2 / WiFi / VHP;32150 руб.;остатки
HP Compaq Presario cq70-212er NF213EA P-M-T4200 2,0 ГГц / 17.0'' WXGA+ / 2048Mb / 250Gb / GeForce 9200M-v256Mb / DVD-RWx2 / WiFi / VHP;28900 руб.;остатки
HP Elitebook 8530p FU616AW C2D-T9400 2,53 ГГц / 15.4'' WXGA+ / 2048Mb / 250Gb / Radeon 3650-v256Mb / DVD-RWx2 / WiFi / VB;59300 руб.;есть
HP Elitebook 8530p FU455EA C2D-P8600 2,4 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Radeon 3650-v256Mb / DVD-RWx2 / WiFi / VB;56750 руб.;есть
HP Elitebook 8530p FU456EA C2D-T9400 2,53 ГГц / 15.4'' WSXGA+ / 2048Mb / 250Gb / Radeon 3650-v256Mb / DVD-RWx2 / WiFi / VB;62730 руб.;предзаказ
HP Elitebook 8530p FU457EA C2D-T9400 2,53 ГГц / 15.4'' WSXGA+ / 2048Mb / 250Gb / Radeon 3650-v256Mb / DVD-RWx2 / WiFi / VB;73150 руб.;остатки
HP Elitebook 8530p FU458EA C2D-T9550 2,66 ГГц / 15.4'' WSXGA+ / 2048Mb / 250Gb / Radeon 3650-v256Mb / DVD-RWx2 / WiFi / VB;63150 руб.;есть
HP Compaq 6730b GB990EA C2D(Pn)-P8600 2,4 ГГц / 15.4'' WSXGA+ / 2048Mb / 250Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;31840 руб.;остатки
HP Compaq 6730b GB989EA C2D(Pn)-P8600 2,4 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;31740 руб.;остатки
HP Compaq 6730b FH006AW C2D(Pn)-P8600 2,4 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;29900 руб.;остатки
HP Compaq 6730b FH009AW C2D(Pn)-T9400 2,53G / 15.4'' WSXGA+ / 2048Mb / 160Gb / Intel® GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;51560 руб.;предзаказ
HP Compaq 6730b GB987EA C2D(Pn)-P8400 2,26 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;30970 руб.;предзаказ
HP Compaq 6730b GB992EA C2D(Pn)-P8400 2.26G / 15.4'' WXGA / 2048Mb / 160Gb / Intel® GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;35180 руб.;остатки
HP Compaq 6730b NQ282AW C2D-P8700 2,53 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VB;44770 руб.;предзаказ
HP Compaq 6730b NB019EA C2D(Pn)-P8600 2,4 ГГц / 15.4'' WXGA / 2048Mb / 320Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VB;39430 руб.;предзаказ
HP Compaq 6730b FQ231AW C2D(Pn)-P8400 2,26 ГГц / 15.4'' WXGA / 2048Mb / 120Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;28930 руб.;остатки
HP Compaq 6730b GB991EA C2D(Pn)-T9400 2,53 ГГц / 15.4'' WSXGA+ / 2048Mb / 160Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;39580 руб.;предзаказ
HP Compaq 6730b NB027EA C2D(Pn)-P8800 2,66 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VB;41200 руб.;есть
HP Compaq 6730b NB024EA C2D(Pn)-P8700 2,53 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VB;37890 руб.;есть
HP Pavilion dv6-1216er VF327EA P-M-T4200 2,0 ГГц / 15.6'' WXGA / 4096Mb / 320Gb / ATI Mobility™ Radeon® HD 4530-v512Mb / DVD-RWx2 / WiFi / VHB;30770 руб.;есть
HP Pavilion dv2-1110er VG640EA AMD Athlon Neo-L335 1,6 ГГц / 12.1'' WXGA / 2048Mb / 250Gb / ATI Mobility™ Radeon® HD 3410-v512Mb / noCDROM / WiFi / VHP;26590 руб.;есть
HP Compaq Presario cq61-210er VF274EA P-M-T4200 2,0 ГГц / 15.6'' WXGA / 4096Mb / 250Gb / NVIDIA® GeForce™ G102M-v512Mb / DVD-RWx2 / WiFi / VHB;22870 руб.;есть
HP Compaq Presario cq60-205er FW787EA TurX2-QL-62 2,0 ГГц / 15.6'' WXGA / 2048Mb / 160Gb / GeForce 8200M-v128Mb / DVD-RWx2 / WiFi / VHB;22630 руб.;остатки
HP Compaq TouchSmart tx2-1210er NY201EA TurX2-RM-74 2,2 ГГц / 12.1'' WXGA / 3072Mb / 320Gb / Radeon 3200-v64Mb / DVD-RWx2 / WiFi / VHP;40110 руб.;предзаказ
HP Compaq 8510p GB967EA C2D(Pn)-T9300 2,5 ГГц / 15.4'' WSXGA+ / 2048Mb / 160Gb / Radeon X2600-v256Mb / DVD-RWx2 / WiFi / VB;49920 руб.;предзаказ
HP Compaq 8510p KU647AW C2D(Pn)-T8300 2,4 ГГц / 15.4'' WSXGA+ / 2048Mb / 160Gb / ATI Mobility™ Radeon® X2600-v256Mb / DVD-RWx2 / WiFi / VB;43260 руб.;предзаказ
HP Compaq Presario cq60-420er NY250EA Semp-QL-65 2,1 ГГц / 15.6'' WXGA / 3072Mb / 160Gb / GeForce 8200M-v128Mb / DVD-RWx2 / WiFi / VHB;20390 руб.;предзаказ
HP Compaq HDX18-1300 1320ER Premium NY210EA С2D (Qd)-Q9000 2,0 ГГц / 18.4'' Full HD / 4096Mb / 1000Gb / NVIDIA® GeForce™ G130M-v1024Mb / Blu-Ray Combo / WiFi / VHP;88370 руб.;предзаказ
HP Compaq 615 NX560EA A64X2-QL-64 2,1 ГГц / 15.6'' WXGA / 2048Mb / 320Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VHB;20710 руб.;есть
HP Compaq 615 NX557EA A64X2-QL-64 2,1 ГГц / 15.6'' WXGA / 1024Mb / 160Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / DOS;19110 руб.;предзаказ
HP Compaq 615 NX556EA A64X2-QL-64 2,1 ГГц / 15.6'' WXGA / 1024Mb / 160Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / DOS;16060 руб.;есть
HP Compaq 615 NX567EA TurX2-RM-74 2,2 ГГц / 15.6'' WXGA / 2048Mb / 320Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VHB;21660 руб.;есть
HP Compaq 615 NX559EA A64X2-QL-64 2,1 ГГц / 15.6'' WXGA / 2048Mb / 160Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VHB;19490 руб.;есть
HP Compaq 615 NX568EA TurX2-RM-74 2,2 ГГц / 15.6'' WXGA / 2048Mb / 320Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / DOS;21350 руб.;есть
HP Compaq 615 NX537EA Cel ULV-M560 2,13 ГГц / 15.6'' WXGA / 1024Mb / 160Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / DOS;18030 руб.;остатки
HP Compaq Presario cq60-305er NY240EA Semp-SI-42 2,1 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / GeForce 8200M-v128Mb / DVD-RWx2 / WiFi / VHB;18370 руб.;остатки
HP Pavilion dv5-1290er NG278EA C2D-P8600 2,4 ГГц / 15.4'' WXGA / 3072Mb / 320Gb / GeForce 9600M GT-v512Mb / DVD-RWx2 / WiFi / VHP;43070 руб.;остатки
HP Compaq Presario cq60-210er NF207EA P-M-T3400 2,0 ГГц / 15.6'' WXGA / 2048Mb / 160Gb / GeForce 9200M-v256Mb / DVD-RWx2 / WiFi / VHB;24700 руб.;остатки
HP Elitebook 8530w FU461EA C2D-P8600 2,4 ГГц / 15.4'' WSXGA+ / 2048Mb / 250Gb / FireGL V5700-v256Mb / DVD-RWx2 / WiFi / VB;70050 руб.;есть
HP Elitebook 8530w FY595AW C2D-T9400 2,53 ГГц / 15.4'' WSXGA+ / 2048Mb / 250Gb / FireGL V5700-v256Mb / DVD-RWx2 / WiFi / VB;75260 руб.;остатки
HP Elitebook 8530w FU462EA C2D-T9600 2,8 ГГц / 15.4'' WUXGA / 2048Mb / 320Gb / Quadro FX 770M-v512Mb / DVD-RWx2 / WiFi / VB;100930 руб.;есть
HP Elitebook 8530w FU463EA C2D-T9600 2,8 ГГц / 15.4'' WUXGA / 4096Mb / 320Gb / Quadro FX 770M-v512Mb / Blu-Ray Combo / WiFi / WinXP-P;117380 руб.;есть
HP Elitebook 8530w FU464EA C2D-T9600 2,8 ГГц / 15.4'' WUXGA / 4096Mb / 320Gb / Quadro FX 770M-v512Mb / Blu-Ray Combo / WiFi / WinXP-P;156410 руб.;остатки
HP Elitebook 8530w FU459EA C2D-T9600 2,8 ГГц / 15.4'' WSXGA+ / 4096Mb / 250Gb / Radeon 3650-v512Mb / DVD-RWx2 / WiFi / VB;79310 руб.;есть
HP Pavilion dv5-1120er FU755EA TurX2-ZM-82 2,2 ГГц / 15.4'' WXGA / 3072Mb / 250Gb / Radeon 3450-v256Mb / DVD-RWx2 / WiFi / VHP;36820 руб.;остатки
HP Compaq 2710p RU539EA C2D-U7600 1,2 ГГц / 12.0'' WXGA / 1024Mb / 80Gb / Intel GMA X3100-v384Mb / noCDROM / WiFi / VB;31910 руб.;предзаказ
HP Compaq 2710p KE250EA C2D-U7700 1,33 ГГц / 12.0'' WXGA / 2048Mb / 120Gb / Intel GMA X3100-v384Mb / noCDROM / WiFi / VB;31220 руб.;остатки
HP 550 NA952EA C2D(Pn)-T5670 1,8 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / VHB;21890 руб.;предзаказ
HP 550 FS345AA C2D(Pn)-T5270 1,4 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / VHB;18060 руб.;предзаказ
HP 550 FU412EA C2D(Pn)-T5470 1,6 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / VHB;21770 руб.;предзаказ
HP 550 FU410EA C2D(Pn)-T5470 1,6 ГГц / 15.4'' WXGA / 1024Mb / 160Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / DOS;17840 руб.;есть
HP 550 NA949EA Cel-M550 2,0 ГГц / 15.4'' WXGA / 2048Mb / 160Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / VHB;20740 руб.;предзаказ
HP 550 NA953EA C2D(Pn)-T5670 1,8 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / VB;25440 руб.;остатки
HP 550 NA947EA Cel-M550 2,0 ГГц / 15.4'' WXGA / 1024Mb / 160Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / DOS;15130 руб.;есть
HP 550 NA950EA C2D(Pn)-T5670 1,8 ГГц / 15.4'' WXGA / 1024Mb / 160Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / DOS;18190 руб.;есть
HP 550 NA951EA C2D(Pn)-T5670 1,8 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / DOS;20980 руб.;остатки
HP 550 NA948EA Cel-M550 2,0 ГГц / 15.4'' WXGA / 1024Mb / 160Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / VHB;17450 руб.;есть
HP Compaq 8710p KE185EA C2D(Pn)-T9300 2,5 ГГц / 17.0'' WSXGA+ / 2048Mb / 250Gb / Quadro NVS 320M-v256Mb / DVD-RWx2 / WiFi / VB;63230 руб.;предзаказ
HP Compaq Presario cq70-215er NG506EA C2D-T6400 2,0 ГГц / 17.0'' WXGA+ / 2048Mb / 250Gb / GeForce 9200M-v256Mb / DVD-RWx2 / WiFi / VHP;30760 руб.;остатки
HP Pavilion tx2650er CJ972EA TurX2-ZM-82 2,2 ГГц / 12.1'' WXGA / 3072Mb / 320Gb / Radeon 3200-v128Mb / DVD-RWx2 / WiFi / VHP;40300 руб.;остатки
HP Pavilion dv6-1229er VF348EA C2D-T6500 2,1 ГГц / 15.6'' WXGA / 3072Mb / 250Gb / ATI Radeon HD 4650-v1024Mb / DVD-RWx2 / WiFi / VHB;29340 руб.;есть
HP Compaq Presario cq60-215er NH520EA C2D-T6400 2,0 ГГц / 15.6'' WXGA / 3072Mb / 250Gb / GeForce 9200M-v256Mb / DVD-RWx2 / WiFi / VHP;28010 руб.;остатки
HP Compaq 2230s FU327EA C2D-T6570 2,1 ГГц / 12.1'' WXGA / 3072Mb / 320Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VB;36080 руб.;предзаказ
HP Compaq 2230s FU311EA C2D(Pn)-T5870 2,0 ГГц / 12.1'' WXGA / 1024Mb / 160Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VHB;30460 руб.;предзаказ
HP Compaq 2230s NX598EA C2D-P7370 2,0 ГГц / 12.1'' WXGA / 3072Mb / 320Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VHB;37380 руб.;предзаказ
HP Compaq 2230s NX599EA C2D-T8600 2,4 ГГц / 12.1'' WXGA / 4096Mb / 320Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VHP;43240 руб.;предзаказ
HP Compaq 2230s NX605EA Cel Duo-T1600 1,66 ГГц / 12.1'' WXGA / 4096Mb / 320Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VHB;29590 руб.;предзаказ
HP Compaq 2230s NA875ES P-M-T3400 2,16 ГГц / 12.1'' WXGA / 3072Mb / 320Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VHB;44090 руб.;остатки
HP Compaq 2230s NA876ES P-M-T3400 2,16 ГГц / 12.1'' WXGA / 2048Mb / 250Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / DOS;38160 руб.;остатки
HP Compaq 2230s NN342ES P-M-T4200 2,0 ГГц / 12.1'' WXGA / 3072Mb / 320Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VHB;29320 руб.;предзаказ
HP Compaq 2230s NN339ES P-M-T4200 2,0 ГГц / 12.1'' WXGA / 2048Mb / 250Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / DOS;26160 руб.;есть
HP Compaq 2230s FU325EA C2D-T6570 2,1 ГГц / 12.1'' WXGA / 2048Mb / 250Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VHP;39710 руб.;остатки
HP Compaq 2230s FU312EA C2D(Pn)-T5870 2,0 ГГц / 12.1'' WXGA / 2048Mb / 160Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VB;34160 руб.;предзаказ
HP Compaq 2230s NN341ES P-M-T4200 2,0 ГГц / 12.1'' WXGA / 2048Mb / 250Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VHB;29400 руб.;предзаказ
HP Compaq 2230s FU315EA C2D(Pn)-P7370 2,0 ГГц / 12.1'' WXGA / 3072Mb / 320Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VB;36370 руб.;предзаказ
HP Pavilion dv6-1220er NZ361EA C2D-T6500 2,1 ГГц / 15.6'' WXGA / 3072Mb / 320Gb / ATI Mobility™ Radeon® HD 4530-v512Mb / DVD-RWx2 / WiFi / VHB;30800 руб.;предзаказ
HP Compaq 8710w KE191EA C2D(Pn)-T9500 2.6G / 17.0'' WUXGA / 4096Mb / 200Gb / NVIDIA Quadro® FX 3600M-v512Mb / Blu-Ray Combo / WiFi / VB;77240 руб.;есть
HP Compaq 8710w KE192EA C2D(Pn)-T9300 2,5 ГГц / 17.0'' WSXGA+ / 2048Mb / 200Gb / NVIDIA Quadro® FX 3600M-v512Mb / DVD-RWx2 / WiFi / VB;64730 руб.;остатки
HP Pavilion dv7-2130er VH807EA С2D (Qd)-Q9000 2,0 ГГц / 17.3'' WXGA+ / 4096Mb / 250Gb / ATI Radeon HD 4650-v1024Mb / DVD-RWx2 / WiFi / VHP;42040 руб.;есть
HP Compaq Mini 110c-1010er NW648EA Intel® Atom-N270 1,6 ГГц / 10.1'' WSVGA / 1024Mb / 160Gb / Intel GMA 950-v128Mb / noCDROM / WiFi / WinXP-H;13670 руб.;есть
HP Pavilion dv5-1030er FM400EA A64X2-ZM-82 2,2 ГГц / 15.4'' WXGA / 3072Mb / 250Gb / Radeon 3450-v256Mb / DVD-RWx2 / WiFi / VHP;33880 руб.;остатки
HP Pavilion dv5-1240er NW564EA P-M-T3400 2,16 ГГц / 15.4'' WXGA / 4096Mb / 160Gb / GeForce 9600M GT-v512Mb / DVD-RWx2 / WiFi / VHB;43890 руб.;предзаказ
HP Compaq 6530b NB015EA C2D(Pn)-P8800 2,66 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;42270 руб.;есть
HP Compaq 6530b NB012EA C2D(Pn)-P8700 2,53 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;38380 руб.;есть
HP Compaq 6530b GB974EA C2D(Pn)-P8400 2,26 ГГц / 14.1'' WXGA / 2048Mb / 160Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;34770 руб.;предзаказ
HP Compaq 6530b GB978EA C2D(Pn)-T9400 2,53 ГГц / 14.1'' WXGA+ / 2048Mb / 160Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;34970 руб.;остатки
HP Compaq 6530b NQ279AW C2D(Pn)-P8700 2,53 ГГц / 14.1'' WXGA / 2048Mb / 160Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VB;41050 руб.;есть
HP Compaq 6530b NB007EA C2D(Pn)-P8600 2,4 ГГц / 14.1'' WXGA / 2048Mb / 320Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;41490 руб.;предзаказ
HP Compaq 6530b NB010EA C2D(Pn)-P8600 2,4 ГГц / 14.1'' WXGA / 2048Mb / 250Gb / Intel GMA X4500MHD-v128Mb / DVD-RWx2 / WiFi / VB;59270 руб.;остатки
HP Compaq 6530b FH001AW C2D(Pn)-T9400 2,53 ГГц / 14.1'' WXGA+ / 2048Mb / 160Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;44910 руб.;есть
HP Compaq 6530b FQ234AW C2D(Pn)-P8400 2,26 ГГц / 14.1'' WXGA / 2048Mb / 120Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;31310 руб.;предзаказ
HP Compaq 6530b FG997AW C2D(Pn)-P8600 2,4 ГГц / 14.1'' WXGA / 2048Mb / 160Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;29180 руб.;предзаказ
HP Compaq 6530b GB977EA C2D(Pn)-P8600 2,4 ГГц / 14.1'' WXGA+ / 2048Mb / 250Gb / Intel GMA X4500HD-v128Mb / DVD-RWx2 / WiFi / VB;37830 руб.;предзаказ
HP Compaq Presario cq60-104er FV836EA TurX2-QL-60 1,9 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / GeForce 8200M-v128Mb / DVD-RWx2 / WiFi / VHP;31070 руб.;остатки
HP Pavilion dv7-1210er VG651EA TurX2-ZM-82 2,2 ГГц / 17.3'' WXGA+ / 4096Mb / 500Gb / ATI Mobility™ Radeon® HD 4530-v512Mb / DVD-RWx2 / WiFi / VHP;33630 руб.;предзаказ
HP Pavilion dv7-1210er NG590EA C2D-T6400 2,0 ГГц / 17.0'' WXGA+ / 3072Mb / 320Gb / GeForce 9600M GT-v512Mb / DVD-RWx2 / WiFi / VHP;37400 руб.;остатки
HP ProBook 4515s NX500EA TurX2-RM-76 2,3 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / ATI Mobility™ Radeon® HD 4330-v512Mb / DVD-RW / WiFi / Linux;23710 руб.;есть
HP ProBook 4515s NX507EA TurX2-RM-76 2,3 ГГц / 15.6'' WXGA / 4096Mb / 500Gb / ATI Mobility™ Radeon® HD 4330-v512Mb / DVD-RW / WiFi / Linux;27840 руб.;есть
HP ProBook 4515s VC235ES TurX2-RM-74 2,3 ГГц / 15.6'' WXGA / 3072Mb / 320Gb / ATI Mobility™ Radeon® HD 4330-v512Mb / DVD-RWx2 / WiFi / VHB;27170 руб.;есть
HP ProBook 4515s NX477EA TurX2-RM-76 2,3 ГГц / 15.6'' WXGA / 2048Mb / 250Gb / ATI Mobility™ Radeon® HD 4330-v512Mb / DVD-RW / WiFi / DOS;23150 руб.;есть
HP ProBook 4515s NX478EA TurX2-RM-74 2,3 ГГц / 15.6'' WXGA / 3072Mb / 320Gb / Radeon 3200-v256Mb / DVD-RWx2 / WiFi / DOS;25130 руб.;остатки
HP ProBook 4515s NN322EA A64X2-QL-66 2,2 ГГц / 15.6'' WXGA / 2048Mb / 160Gb / Radeon 3200-v256Mb / DVD-RWx2 / WiFi / VHB;21850 руб.;есть
