Наименование;Цена;Наличие
Ноутбуки;;
Acer Aspire 8930G-904G50Wi С2D (Qd)-Q9000 2,0 ГГц / 18.4'' WUXGA / 4096Mb / 500Gb / GeForce 9600M GT-v1024Mb / Blu-Ray RW / WiFi / VHP (LX.AFM0X.071);87140 руб.;остатки
Acer Aspire 8930G-583G25Bi C2D-T5800 2,0 ГГц / 18.4'' WUXGA / 3072Mb / 250Gb / GeForce 9600M GT-v512Mb / Blu-Ray Combo / WiFi / VHP (LX.ASY0X.257);37430 руб.;остатки
Acer Aspire 8930G-864G64Bi C2D-P8600 2,4 ГГц / 18.4'' WUXGA / 4096Mb / 640Gb / GeForce 9700M GT-v512Mb / Blu-Ray Combo / WiFi / VHP (LX.AT10X.117);52090 руб.;предзаказ
Acer eMaсhines eME525-302G16Mi Cel Duo-1,8 ГГц / 15.6'' WXGA / 2048Mb / 160Gb / Intel GMA X4500-v358Mb / DVD-RWx2 / WiFi / VHP (LX.N730Y.002);17950 руб.;есть
Acer eMaсhines eME525-902G16Mi Cel ULV-2,2 ГГц / 15.6'' WXGA / 2048Mb / 160Gb / Intel GMA X4500-v358Mb / DVD-RWx2 / WiFi / VHB (LX.N730Y.001);16740 руб.;есть
Acer eMaсhines E525-902G16Mi Cel ULV-2,2 ГГц / 15.6'' WXGA / 2048Mb / 160Gb / Intel GMA X4500-v358Mb / DVD-RWx2 / WiFi / VHB (LX.N330Y.038);15380 руб.;есть
Acer eMaсhines E525-302G16Mi Cel Duo-1,8 ГГц / 15.6'' WXGA / 2048Mb / 160Gb / Intel GMA X4500-v358Mb / DVD-RWx2 / WiFi / VHP (LX.N330X.082);18040 руб.;предзаказ
Acer TravelMate 6492-812G25Mn C2D(Pn)-T8100 2,1 ГГц / 14.0'' WXGA / 2048Mb / 250Gb / Intel GMA X3100-v358Mb / DVD-RWx2 / WiFi / VB (LX.TLK0Z.493);31790 руб.;есть
Acer TravelMate 6592-5B1G12MI C2D-T5670 1,8 ГГц / 15.4'' WXGA / 1024Mb / 120Gb / Intel GMA X3100-v128Mb / DVD-RWx2 / WiFi / VB (LX.TLS0Z.007);23320 руб.;есть
Acer TravelMate 6592G-812G25Mn C2D(Pn)-T8100 2,1 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Radeon X2400-v128Mb / DVD-RWx2 / WiFi / VB (LX.TNE0Z.230);31270 руб.;есть
Acer TravelMate 6592G-812G25Mn C2D(Pn)-T8100 2,1 ГГц / 15.4'' WXGA / 2048Mb / 250Gb / Radeon X2400-v128Mb / DVD-RWx2 / WiFi / VB (LX.TNE0Z.523);40250 руб.;есть
Acer eMaсhines G620-623G25Mi A64X2-2,0 ГГц / 17.0'' WXGA+ / 3096Mb / 250Gb / Radeon X1200-v256Mb / DVD-RW / WiFi / VHB (LX.N220X.102);19350 руб.;есть
Acer TravelMate 6493-874G32Mi C2D-P8700 2,53 ГГц / 14.0'' WXGA / 4096Mb / 320Gb / Intel GMA X4500MHD-v358Mb / DVD-RWx2 / WiFi / VB (LX.TQ70Z.335);39430 руб.;предзаказ
Acer TravelMate 6593-874G25Mi C2D-P8700 2,53 ГГц / 15.4'' WSXGA+ / 4096Mb / 250Gb / Intel GMA X4500MHD-v256Mb / DVD-RWx2 / WiFi / VB (LX.TPV0Z.149);43700 руб.;предзаказ
